source_platform,merchant_id,merchant_name,target_school_context,service_category,business_area,url,scrape_date,notes
dianping,H7t52d8VHzGF40fm,迪诺天才学习方法(槐荫校区),营市东街小学 / 槐荫区,课后辅导,五院,https://www.dianping.com/shop/H7t52d8VHzGF40fm,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,H5fLBkvuuGOGraOm,大智教育·中学生全科辅导(槐荫分校),营市东街小学 / 槐荫区,课后辅导,西市场,https://www.dianping.com/shop/H5fLBkvuuGOGraOm,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,k7mlUtpnxRHO1aM7,小优伴学中小学智习托管中心,营市东街小学 / 槐荫区,自习室,西市场,https://www.dianping.com/shop/k7mlUtpnxRHO1aM7,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,G8P16WpsBSdpCaiZ,学无忧•学课优小初高一站式提升规划中心(和谐广场校区),营市东街小学 / 槐荫区,课后辅导,和谐广场,https://www.dianping.com/shop/G8P16WpsBSdpCaiZ,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,H8k6oFqedjN26KQf,致远托管,营市东街小学 / 槐荫区,中小学课后托管,五院,https://www.dianping.com/shop/H8k6oFqedjN26KQf,2026-09-16T00:11:00-07:00,详情页公开分类/文字；不扩展未证实服务。
dianping,k4txQZ13B3t5xIxa,阳光托教(营市街),营市东街小学 / 槐荫区,中小学课后托管,五院,https://www.dianping.com/shop/k4txQZ13B3t5xIxa,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,G7jtBBZ8DUPGQquJ,尚学教育·初高中1对1辅导,营市东街小学 / 槐荫区,课后辅导,和谐广场,https://www.dianping.com/shop/G7jtBBZ8DUPGQquJ,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,H9ON85jDtXWcUlIi,丰瞬托育中心(机车园),槐荫区,托班/托儿所,张庄路/森林公园,https://www.dianping.com/shop/H9ON85jDtXWcUlIi,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,l5fFcNw9K37HVvwv,学易佳素质成长中心(连城国际校区),槐荫区,课后辅导,和谐广场,https://www.dianping.com/shop/l5fFcNw9K37HVvwv,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,kaV5uESeS4P2RCkN,贝尔安亲(泉景校区),泉新学校（泉景园）,中小学课后托管,市中区,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,G4DAYApiVQZCmwtK,朴新天材教育(槐荫校区),槐荫区,课后辅导,五院,https://www.dianping.com/shop/G4DAYApiVQZCmwtK,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,FG1FRyVhfdsSfqn5,贝尔安亲(济微中学校区),槐荫区,中小学课后托管,五院,https://www.dianping.com/shop/FG1FRyVhfdsSfqn5,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,G7zHiFPttcZaKigR,励志文化培训学校,槐荫区,课后辅导,五院,https://www.dianping.com/shop/G7zHiFPttcZaKigR,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,l4507Z6EjlDFQl7r,课小贝托管(昆仑校区),槐荫区,中小学课后托管,西市场,https://www.dianping.com/shop/l4507Z6EjlDFQl7r,2026-09-16T00:11:00-07:00,详情页公开分类/文字；不扩展未证实服务。
dianping,G9eP2eOXJCS5fsca,汇文教育(槐荫校区),槐荫区,课后辅导,和谐广场,https://www.dianping.com/shop/G9eP2eOXJCS5fsca,2026-09-16T00:05:00-07:00,公开搜索结果分类；不将分类扩展为未证实服务。
dianping,k7mlUtpnxRHO1aM7,小优伴学中小学智习托管中心,营市东街小学 / 槐荫区,自习室；课后托管/学习陪伴/习惯养成（门店图示）,西市场,https://www.dianping.com/shop/k7mlUtpnxRHO1aM7,2026-09-16T00:11:00-07:00,详情页公开分类/文字；不扩展未证实服务。
dianping,k4txQZ13B3t5xIxa,阳光托教(营市街),营市东街小学 / 槐荫区,中小学课后托管；小饭桌（评价原文）,五院,https://www.dianping.com/shop/k4txQZ13B3t5xIxa,2026-09-16T00:11:00-07:00,详情页公开分类/文字；不扩展未证实服务。
dianping,kaV5uESeS4P2RCkN,贝尔安亲(泉景校区),泉新学校（泉景园）,中小学课后托管；小学晚托；全托（团购文案）,市中区,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,2026-09-16T00:11:00-07:00,详情页公开分类/文字；不扩展未证实服务。
dianping,l2a3jfI9AM8YGvQC,花儿朵朵托辅中心,营市东街小学 / 槐荫区,托班/托儿所,五院,https://www.dianping.com/shop/l2a3jfI9AM8YGvQC,2026-09-16T00:11:00-07:00,详情页公开分类/文字；不扩展未证实服务。
