platform,poi_id,name,address,lat,lng,distance_text,phone,rating,review_count,price_text,open_status,near_school,search_query,url,images_paths,collected_at,institution_id,school_area_id,match_confidence,source_type,verification_status
baidu,baidu_5849de727e02,金苹果小饭桌,济南市槐荫区绿地泉景园1期8号楼302室,,,,,3.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00,inst_cf39ee2f13,area_quanxin,A,map_list,unverified_public_list
baidu,baidu_125e4e2d5057,新星小饭桌,济南市槐荫区绿地泉景园9号楼102室,,,,,4.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00,inst_af6efe2bb1,area_quanxin,A,map_list,unverified_public_list
baidu,baidu_7586d2c955d1,博乐少儿托管所中心,济南市槐荫区绿地泉景园二期7号楼1单元202,,,,,5.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00,inst_c295027521,area_quanxin,A,map_list,unverified_public_list
baidu,baidu_77dc0531ad21,天天小饭桌,济南市槐荫区营市东街8号楼1-101,,,,,3.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00,inst_d38b7c1ef0,area_yingdong,A,map_list,unverified_public_list
baidu,baidu_534a688eecee,放心托教,济南市槐荫区营市街112号,,,,,4.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00,inst_ad40f6c9c7,area_yingdong,A,map_list,unverified_public_list
baidu,baidu_2c03c4da11e6,平平小饭桌,济南市槐荫区营市街24号1—102,,,,,4.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00,inst_f7b0969938,area_yingdong,A,map_list,unverified_public_list
baidu,baidu_5a02ec619b1f,快乐作文小饭桌,济南市槐荫区营市东街24号2—101,,,,,3.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00,inst_3e9491af2d,area_yingdong,A,map_list,unverified_public_list
baidu,baidu_3fa937ddcad4,爱心托管,济南市槐荫区营市东街27号3—103,,,,,4.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00,inst_6700667db9,area_yingdong,A,map_list,unverified_public_list
baidu,baidu_71994bdb4108,阳光托教,济南市槐荫区营市街36号,,,,,4.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00,inst_cb41c3ada5,area_yingdong,A,map_list,unverified_public_list
baidu,baidu_6fbcddb61f1d,贝朗优培小饭桌,济南市新世界阳光花园18号楼3单元101,,,,,4.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00,inst_a97006155a,area_yingdong,A,map_list,unverified_public_list
