platform,poi_id,name,address,lat,lng,distance_text,phone,rating,review_count,price_text,open_status,near_school,search_query,url,images_paths,collected_at
baidu,baidu_5849de727e02,金苹果小饭桌,济南市槐荫区绿地泉景园1期8号楼302室,,,,,3.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_125e4e2d5057,新星小饭桌,济南市槐荫区绿地泉景园9号楼102室,,,,,4.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_7586d2c955d1,博乐少儿托管所中心,济南市槐荫区绿地泉景园二期7号楼1单元202,,,,,5.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_77dc0531ad21,天天小饭桌,济南市槐荫区营市东街8号楼1-101,,,,,3.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_534a688eecee,放心托教,济南市槐荫区营市街112号,,,,,4.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_2c03c4da11e6,平平小饭桌,济南市槐荫区营市街24号1—102,,,,,4.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_5a02ec619b1f,快乐作文小饭桌,济南市槐荫区营市东街24号2—101,,,,,3.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_3fa937ddcad4,爱心托管,济南市槐荫区营市东街27号3—103,,,,,4.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_71994bdb4108,阳光托教,济南市槐荫区营市街36号,,,,,4.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_6fbcddb61f1d,贝朗优培小饭桌,济南市新世界阳光花园18号楼3单元101,,,,,4.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_6caa2cf784da,燎原托管,济南市新世界阳光小区西区21号楼4单元301室,,,,,3.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_bc02bd7c4a80,小牛津学生家园,济南市经六路532号1单元101室,,,,,3.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_698455b7dc22,图书馆小饭桌,济南市新世界阳光花园西区26号楼3单元101室,,,,,3.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_ebf406fdfe89,放心小饭桌,济南市经六路532号1单元103室,,,,,3.0,,,,济南市营市东街小学,济南市营市东街小学 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_951399682031,槐荫向阳花小饭桌,济南市经四路542号2-2-102室,,,,,4.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_955fa7163bce,喜洋洋小饭桌,济南市经四路546号101室,,,,,4.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_018195d88ed0,金色阳光小饭桌,济南市匡山小区67-3-101,,,,,4.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_e5688182a545,起航小饭桌,济南市匡山小区4-2-102,,,,,4.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_890ba895510a,向日葵小饭桌,济南市匡山小区8-2-102,,,,,4.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_398da4b69508,放心小饭桌(匡山),济南市匡山小区64-5-102,,,,,5.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_369a8527af43,宝贝小饭桌,济南市匡山小区40-4-101,,,,,4.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_62108129118c,开心托管小饭桌,济南市匡山小区30号楼1-102号,,,,,3.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_451dc7bde632,金贝育童小饭桌,济南市匡山小区66-4-101,,,,,4.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_e370ca4f4a6b,菲菲小饭桌,济南市匡山小区23-4-101,,,,,4.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_74cb98f190d2,圆圆小饭桌,济南市匡山小区64-4-103,,,,,4.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_f4db448f3b1f,满意一百小饭桌,济南市匡山小区62-1-101,,,,,4.0,,,,济南市槐荫区实验学校,济南市槐荫区实验学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_60d2220d4702,锦绣放心小饭桌,济南市锦绣城2期4号楼2单元201,,,,,4.0,,,,济南市槐荫区杨柳春风学校,济南市槐荫区杨柳春风学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_fa41ac7691c8,真爱小饭桌,济南市兴福佳苑2-3-301,,,,,3.0,,,,济南市槐荫区杨柳春风学校,济南市槐荫区杨柳春风学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_fc6a7bb77303,济南市槐荫区优佳家托,济南市阳光100F12-4-101,,,,,4.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_ed8bc327cb68,100小饭桌,济南市阳光100F5-2-501,,,,,4.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_8ddbb37fc292,起航辅导班,济南市阳光100F15-6-102,,,,,3.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_6bf1eb21fd6b,金色阳光饭桌,济南市阳光100F15-5-101,,,,,4.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_c4363045301f,智博托辅中心,济南市阳光100F5-3-702,,,,,4.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_70cdbe776f75,鲁美教育托管中心,济南市阳光100F12-7-102,,,,,4.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_ba93d9026da6,开心辅导班,济南市阳光100F22-104,,,,,5.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_afaaff645ef6,优+小饭桌,济南市阳光100F22号楼1单元202,,,,,4.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
baidu,baidu_91e5a28943d2,袋鼠妈妈托管连锁机构阳光100十二部,济南市阳光100F12-6-902,,,,,4.0,,,,济南市槐荫区泉新学校,济南市槐荫区泉新学校 小饭桌 托管,http://jn.bendibao.com/edu/2017918/47248.shtm,,2026-09-15T22:40:00-07:00
